"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5594","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","8","1","1","17.292612","0","41"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","1","1","19.537949","0","54"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","1","1","18.849627","0","49"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","2","1","24.023300","0","88"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","8","2","1","16.653744","0","41"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","73","1","1","133.685364","0","2755"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","111","1","1","181.932480","0","6197"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","73","1","1","135.461166","0","2614"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","13","1","1","23.375702","0","103"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","33","1","1","68.401955","0","554"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","19","1","1","39.349693","0","208"
"/Engine/VREditor/TransformGizmo/Main.Main","0","13","1","1","23.526459","0","103"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","13","6","1","23.014042","0","83"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","47","8","1","54.750740","0","1122"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","108","5","1","309.127014","0","5644"
"/Game/Materials/M_SineWave.M_SineWave","0","19","1","1","42.446075","0","208"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","8","2","1","17.268368","0","41"
"/Game/ExampleContent/Materials/M_Radial_Gradient.M_Radial_Gradient","0","31","2","1","43.455849","0","524"
"/Game/ExampleContent/Materials/M_Orange_Shiny.M_Orange_Shiny","0","87","8","1","195.358932","0","3153"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","31","8","1","77.351814","0","121"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","93","1","1","237.635025","0","2031"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","93","1","1","245.355682","0","1501"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","93","1","1","250.816208","0","1492"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","38","1","1","81.429886","0","348"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","1","1","21.879852","0","53"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","10","1","1","28.252499","0","43"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","16","1","1","28.943697","0","106"
"/ControlRig/M_Manip.M_Manip","0","16","2","1","29.727285","0","117"
